r=
ok_badania;dzieci_do_6;liczba_doroslych;dochod_gosp;wiek;zadowolenie_z_pra=
cy;plec;liczba_os_w_gosp;Liczba_pokoi;Pow_mieszk;miasta_100+tys;doch_z_pra=
cy_respondenta;liczba_osob_wnoszacych_dochod_w_gosp=0D
1992;0;1;200;85;NA;1;1;NA;NA;NA;NA;1=0D
1992;0;1;170;32;2;1;1;NA;NA;NA;170;1=0D
1992;0;3;180;40;NA;1;6;NA;NA;NA;NA;2=0D
1992;1;2;370;30;2;1;4;NA;NA;NA;300;2=0D
1992;0;2;700;41;2;2;4;NA;NA;NA;170;2=0D
1992;2;2;300;28;2;2;4;NA;NA;NA;50;2=0D
1992;0;1;120;40;2;2;2;NA;NA;NA;120;1=0D
1992;0;3;150;54;2;1;9;NA;NA;NA;120;3=0D
1992;0;3;NA;42;NA;1;3;NA;NA;NA;NA;NA=0D
1992;0;2;600;43;3;1;6;NA;NA;NA;600;2=0D
1992;1;4;1200;34;3;1;7;NA;NA;NA;800;4=0D
1992;0;3;100;30;NA;2;3;NA;NA;NA;NA;1=0D
1992;0;3;300;49;2;1;4;NA;NA;NA;200;3=0D
1992;1;1;300;36;NA;2;4;NA;NA;NA;NA;1=0D
1992;2;2;210;31;NA;1;4;NA;NA;NA;NA;2=0D
1992;2;6;800;28;2;1;9;NA;NA;NA;140;6=0D
1992;0;2;100;63;NA;2;2;NA;NA;NA;NA;1=0D
1992;3;2;200;46;2;1;5;NA;NA;NA;200;2=0D
1992;0;2;226;74;NA;2;2;NA;NA;NA;NA;2=0D
1992;0;3;240;33;3;1;6;NA;NA;NA;180;2=0D
1992;1;2;190;28;2;1;3;NA;NA;NA;140;2=0D
1992;0;2;200;69;NA;1;2;NA;NA;NA;NA;2=0D
1992;0;4;150;20;3;2;5;NA;NA;NA;83;2=0D
1992;2;2;600;39;NA;2;6;NA;NA;NA;NA;2=0D
1992;0;3;800;21;NA;2;5;NA;NA;NA;NA;2=0D
1992;0;2;350;41;1;2;3;NA;NA;NA;150;3=0D
1992;1;2;600;34;3;1;4;NA;NA;NA;180;1=0D
1992;0;2;250;62;NA;2;2;NA;NA;NA;NA;2=0D
1992;0;2;500;49;1;2;2;NA;NA;NA;200;2=0D
1992;2;3;330;36;NA;1;7;NA;NA;NA;NA;3=0D
1992;1;2;420;50;3;1;4;NA;NA;NA;270;2=0D
1992;0;2;600;39;3;1;4;NA;NA;NA;200;2=0D
1992;0;2;180;57;NA;2;2;NA;NA;NA;NA;2=0D
1992;1;2;300;36;2;1;5;NA;NA;NA;200;2=0D
